"fips","Pop"
"01001",58802
"01003",231761
"01005",25224
"01007",22300
"01009",59130
"01011",10362
"01013",19055
"01015",116444
"01017",34774
"01019",24979
"01021",45009
"01023",12663
"01025",23087
"01027",14237
"01029",15057
"01031",53460
"01033",57232
"01035",11597
"01037",10382
"01039",37567
"01041",13197
"01043",87857
"01045",49319
"01047",38463
"01049",71611
"01051",87974
"01053",36767
"01055",103441
"01057",16326
"01059",32113
"01061",26660
"01063",7734
"01065",14786
"01067",17148
"01069",107204
"01071",52582
"01073",674355
"01075",13976
"01077",93565
"01079",33077
"01081",174244
"01083",103563
"01085",10310
"01087",19534
"01089",388160
"01091",19324
"01093",29341
"01095",97611
"01097",414812
"01099",19770
"01101",228948
"01103",123421
"01105",8515
"01107",19124
"01109",33008
"01111",21970
"01113",59187
"01115",91471
"01117",223034
"01119",12348
"01121",82152
"01123",41316
"01125",227041
"01127",65342
"01129",15388
"01131",10601
"01133",23544
"02013",3419
"02016",5232
"02020",291244
"02050",18670
"02060",843
"02063",7097
"02066",2618
"02068",1624
"02070",4853
"02090",95657
"02100",2080
"02105",2364
"02110",32255
"02122",58789
"02130",13957
"02150",13101
"02158",8372
"02164",1476
"02170",107082
"02180",10049
"02185",11030
"02188",7790
"02195",3399
"02198",5753
"02220",8448
"02230",1242
"02240",6805
"02275",2126
"02282",664
"02290",5339
"04001",66024
"04003",125448
"04005",145100
"04007",53273
"04009",38533
"04011",9561
"04012",16555
"04013",4420574
"04015",213269
"04017",106716
"04019",1043434
"04021",425257
"04023",47665
"04025",236218
"04027",203880
"05001",17150
"05003",19064
"05005",41633
"05007",284329
"05009",37372
"05011",10540
"05013",4742
"05015",28260
"05017",10212
"05019",21447
"05021",14548
"05023",24705
"05025",7548
"05027",22798
"05029",20709
"05031",111233
"05033",60130
"05035",48169
"05037",16830
"05039",6479
"05041",11395
"05043",17348
"05045",123498
"05047",17101
"05049",12077
"05051",100172
"05053",17966
"05055",45740
"05057",20062
"05059",33046
"05061",12784
"05063",37931
"05065",13574
"05067",16760
"05069",67261
"05071",25749
"05073",6311
"05075",16216
"05077",8597
"05079",12936
"05081",12028
"05083",21132
"05085",74010
"05087",16521
"05089",16832
"05091",42595
"05093",40692
"05095",6799
"05097",8486
"05099",8315
"05101",7225
"05103",22648
"05105",10021
"05107",16576
"05109",10180
"05111",22965
"05113",19223
"05115",63385
"05117",8284
"05119",399117
"05121",18571
"05123",23089
"05125",123424
"05127",9833
"05129",7831
"05131",127800
"05133",15844
"05135",17280
"05137",12358
"05139",39049
"05141",15797
"05143",245866
"05145",76822
"05147",6276
"05149",20259
"06001",1682331
"06003",1201
"06005",40474
"06007",211631
"06009",45285
"06011",21837
"06013",1165927
"06015",27745
"06017",191184
"06019",1008650
"06021",28915
"06023",136465
"06025",179709
"06027",19025
"06029",909244
"06031",152488
"06033",68158
"06035",32730
"06037",10014042
"06039",156259
"06041",262318
"06043",17128
"06045",91595
"06047",281202
"06049",8700
"06051",13198
"06053",439036
"06055",138024
"06057",102235
"06059",3186979
"06061",404740
"06063",19796
"06065",2418177
"06067",1585046
"06069",64207
"06071",2181662
"06073",3298635
"06075",873959
"06077",779227
"06079",282443
"06081",764432
"06083",448217
"06085",1936274
"06087",270869
"06089",182152
"06091",3234
"06093",44075
"06095",453490
"06097",488875
"06099",552880
"06101",99631
"06103",65831
"06105",16112
"06107",473117
"06109",55623
"06111",843843
"06113",216405
"06115",81578
"08001",519582
"08003",16381
"08005",655058
"08007",13356
"08009",3510
"08011",5651
"08013",330764
"08014",74105
"08015",19473
"08017",1748
"08019",9394
"08021",7467
"08023",3496
"08025",5919
"08027",4703
"08029",31199
"08031",715538
"08033",2326
"08035",357998
"08037",55730
"08039",26049
"08041",730402
"08043",48938
"08045",61688
"08047",5810
"08049",15717
"08051",16917
"08053",784
"08055",6816
"08057",1379
"08059",582902
"08061",1445
"08063",7086
"08065",7428
"08067",55639
"08069",359066
"08071",14557
"08073",5677
"08075",21527
"08077",155710
"08079",865
"08081",13291
"08083",25846
"08085",42680
"08087",29106
"08089",18692
"08091",4880
"08093",17395
"08095",4537
"08097",17358
"08099",11995
"08101",168168
"08103",6531
"08105",11539
"08107",24824
"08109",6372
"08111",703
"08113",8071
"08115",2402
"08117",31052
"08119",24711
"08121",4814
"08123",328976
"08125",9990
"10001",181856
"10003",570721
"10005",237380
"11001",689546
"12001",278475
"12003",28263
"12005",175204
"12007",28306
"12009",606603
"12011",1944376
"12013",13644
"12015",186850
"12017",153855
"12019",218250
"12021",375760
"12023",69701
"12027",33975
"12029",16758
"12031",995560
"12033",321897
"12035",115383
"12037",12452
"12039",43820
"12041",17862
"12043",12127
"12045",14200
"12047",14006
"12049",25326
"12051",39626
"12053",194515
"12055",101238
"12057",1459773
"12059",19657
"12061",159789
"12063",47309
"12065",14507
"12067",8225
"12069",383959
"12071",760820
"12073",292203
"12075",42912
"12077",7976
"12079",17970
"12081",399705
"12083",375906
"12085",158435
"12086",2701762
"12087",82879
"12089",90355
"12091",211664
"12093",39636
"12095",1429901
"12097",388664
"12099",1492198
"12101",561897
"12103",959103
"12105",725041
"12107",73327
"12109",273427
"12111",329227
"12113",187991
"12115",434005
"12117",470855
"12119",129751
"12121",43472
"12123",21800
"12125",16138
"12127",553561
"12129",33766
"12131",75306
"12133",25322
"13001",18440
"13003",8289
"13005",11140
"13007",2875
"13009",43795
"13011",18037
"13013",83507
"13015",108888
"13017",17195
"13019",18166
"13021",157347
"13023",12585
"13025",18021
"13027",16299
"13029",44739
"13031",79647
"13033",24594
"13035",25440
"13037",5576
"13039",54769
"13043",10990
"13045",119141
"13047",67873
"13049",12518
"13051",295280
"13053",9568
"13055",24969
"13057",266625
"13059",128671
"13061",2847
"13063",297608
"13065",6746
"13067",766160
"13069",43088
"13071",45902
"13073",156010
"13075",17230
"13077",146154
"13079",12130
"13081",20127
"13083",16246
"13085",26796
"13087",29369
"13089",764386
"13091",19929
"13093",11212
"13095",85790
"13097",144227
"13099",10855
"13101",3703
"13103",64768
"13105",19638
"13107",22769
"13109",10772
"13111",25319
"13113",119186
"13115",98586
"13117",251283
"13119",23424
"13121",1066702
"13123",31354
"13125",2882
"13127",84497
"13129",57543
"13131",26237
"13133",18907
"13135",957027
"13137",46033
"13139",203166
"13141",8733
"13143",29920
"13145",34669
"13147",25824
"13149",11414
"13151",240719
"13153",163641
"13155",9667
"13157",75904
"13159",14595
"13161",14778
"13163",15714
"13165",8678
"13167",9192
"13169",28351
"13171",18500
"13173",9880
"13175",49581
"13177",33162
"13179",65274
"13181",7688
"13183",16158
"13185",118249
"13187",33487
"13189",21625
"13191",10975
"13193",12081
"13195",30123
"13197",7506
"13199",20610
"13201",5997
"13205",21762
"13207",27955
"13209",8610
"13211",20096
"13213",39982
"13215",206922
"13217",112491
"13219",41799
"13221",14824
"13223",168660
"13225",27989
"13227",33215
"13229",19716
"13231",18881
"13233",42854
"13235",9857
"13237",22046
"13239",2238
"13241",16882
"13243",6423
"13245",206607
"13247",93554
"13249",4546
"13251",14066
"13253",9152
"13255",67301
"13257",26787
"13259",5312
"13261",29612
"13263",5735
"13265",1562
"13267",24287
"13269",7816
"13271",12477
"13273",9184
"13275",45806
"13277",41347
"13279",27031
"13281",12487
"13283",6401
"13285",69427
"13287",9001
"13289",8023
"13291",24626
"13293",27699
"13295",67660
"13297",96669
"13299",36247
"13301",5211
"13303",19992
"13305",30144
"13307",2349
"13309",7479
"13311",28000
"13313",102866
"13315",8767
"13317",9567
"13319",8868
"13321",20783
"15001",200631
"15003",1016506
"15005",80
"15007",73294
"15009",164762
"16001",494964
"16003",4380
"16005",87017
"16007",6371
"16009",9531
"16011",47995
"16013",24275
"16015",7613
"16017",47105
"16019",123955
"16021",12057
"16023",2575
"16025",1073
"16027",231106
"16029",7028
"16031",24693
"16033",788
"16035",8731
"16037",4274
"16039",28665
"16041",14196
"16043",13383
"16045",19126
"16047",15599
"16049",16542
"16051",30889
"16053",24241
"16055",171374
"16057",39518
"16059",7976
"16061",3528
"16063",5123
"16065",52908
"16067",21582
"16069",42089
"16071",4563
"16073",11914
"16075",25385
"16077",7874
"16079",13164
"16081",11633
"16083",90045
"16085",11744
"16087",10500
"17001",65727
"17003",5242
"17005",16729
"17007",53446
"17009",6247
"17011",33229
"17013",4435
"17015",15705
"17017",13044
"17019",205863
"17021",34031
"17023",15457
"17025",13290
"17027",36906
"17029",46865
"17031",5275522
"17033",18672
"17035",10448
"17037",100415
"17039",15510
"17041",19734
"17043",932877
"17045",16868
"17047",6247
"17049",34671
"17051",21492
"17053",13531
"17055",37798
"17057",33611
"17059",4948
"17061",11988
"17063",52544
"17065",7993
"17067",17621
"17069",3647
"17071",6385
"17073",49290
"17075",27079
"17077",52984
"17079",9288
"17081",37118
"17083",21520
"17085",22042
"17087",13310
"17089",516520
"17091",107508
"17093",131868
"17095",49971
"17097",714351
"17099",109663
"17101",15283
"17103",34144
"17105",35816
"17107",27986
"17109",27237
"17111",310227
"17113",170975
"17115",104003
"17117",44967
"17119",265858
"17121",37727
"17123",11744
"17125",13091
"17127",14176
"17129",12296
"17131",15694
"17133",34953
"17135",28287
"17137",32917
"17139",14523
"17141",51788
"17143",181833
"17145",20940
"17147",16672
"17149",14737
"17151",3768
"17153",5191
"17155",5638
"17157",30165
"17159",15800
"17161",144678
"17163",257403
"17165",23772
"17167",196338
"17169",6902
"17171",4947
"17173",20995
"17175",5405
"17177",44623
"17179",131334
"17181",17243
"17183",74199
"17185",11361
"17187",16840
"17189",13767
"17191",16173
"17193",13872
"17195",55691
"17197",696362
"17199",67154
"17201",285350
"17203",38450
"18001",35811
"18003",385411
"18005",82218
"18007",8720
"18009",12115
"18011",70814
"18013",15475
"18015",20304
"18017",37870
"18019",121091
"18021",26457
"18023",33188
"18025",10530
"18027",33391
"18029",50680
"18031",26471
"18033",43273
"18035",111909
"18037",43635
"18039",207054
"18041",23404
"18043",80474
"18045",16474
"18047",22796
"18049",20480
"18051",33017
"18053",66661
"18055",30805
"18057",347465
"18059",79851
"18061",39649
"18063",174792
"18065",48912
"18067",83659
"18069",36670
"18071",46425
"18073",32912
"18075",20478
"18077",33147
"18079",27614
"18081",161768
"18083",36286
"18085",80247
"18087",40444
"18089",498707
"18091",112422
"18093",45015
"18095",130141
"18097",977213
"18099",46096
"18101",9806
"18103",35972
"18105",139717
"18107",37941
"18109",71785
"18111",13825
"18113",47461
"18115",5930
"18117",19872
"18119",21326
"18121",16154
"18123",19170
"18125",12252
"18127",173208
"18129",25213
"18131",12523
"18133",36728
"18135",24502
"18137",28984
"18139",16755
"18141",272914
"18143",24383
"18145",45052
"18147",19814
"18149",23370
"18151",34448
"18153",20820
"18155",9753
"18157",186249
"18159",15355
"18161",7087
"18163",180136
"18165",15447
"18167",106158
"18169",30986
"18171",8436
"18173",63896
"18175",28176
"18177",66555
"18179",28187
"18181",24691
"18183",34190
"19001",7498
"19003",3708
"19005",14061
"19007",12315
"19009",5676
"19011",25571
"19013",131147
"19015",26715
"19017",24988
"19019",20565
"19021",20830
"19023",14335
"19025",9914
"19027",20757
"19029",13132
"19031",18497
"19033",43132
"19035",11664
"19037",12015
"19039",9744
"19041",16381
"19043",17045
"19045",46470
"19047",16526
"19049",99677
"19051",9110
"19053",7639
"19055",17484
"19057",38907
"19059",17704
"19061",99264
"19063",9383
"19065",19511
"19067",15627
"19069",10016
"19071",6602
"19073",8766
"19075",12329
"19077",10623
"19079",15039
"19081",10794
"19083",16873
"19085",14578
"19087",20488
"19089",9468
"19091",9598
"19093",7002
"19095",16663
"19097",19485
"19099",37809
"19101",15665
"19103",152861
"19105",20646
"19107",10035
"19109",14822
"19111",33548
"19113",230303
"19115",10837
"19117",8636
"19119",11934
"19121",16545
"19123",22180
"19125",33417
"19127",40104
"19129",14486
"19131",10563
"19133",8757
"19135",7574
"19137",10329
"19139",43242
"19141",14187
"19143",6196
"19145",15213
"19147",8999
"19149",25697
"19151",7077
"19153",492411
"19155",93670
"19157",18658
"19159",4663
"19161",9817
"19163",174669
"19165",11748
"19167",35870
"19169",98536
"19171",17130
"19173",5896
"19175",12145
"19177",7203
"19179",35445
"19181",52402
"19183",22567
"19185",6495
"19187",36996
"19189",10683
"19191",20061
"19193",105944
"19195",7444
"19197",12941
"20001",12522
"20003",7839
"20005",16341
"20007",4233
"20009",25495
"20011",14361
"20013",9511
"20015",67383
"20017",2576
"20019",3383
"20021",19357
"20023",2616
"20025",1988
"20027",8112
"20029",9034
"20031",8358
"20033",1687
"20035",34547
"20037",38976
"20039",2770
"20041",18397
"20043",7498
"20045",118784
"20047",2901
"20049",2479
"20051",28932
"20053",6383
"20055",38467
"20057",34282
"20059",25994
"20061",36730
"20063",2717
"20065",2417
"20067",7353
"20069",5654
"20071",1282
"20073",6006
"20075",2518
"20077",5484
"20079",34034
"20081",3781
"20083",1723
"20085",13234
"20087",18359
"20089",2938
"20091",609864
"20093",3981
"20095",7461
"20097",2458
"20099",20188
"20101",1574
"20103",81897
"20105",2940
"20107",9591
"20109",2762
"20111",32177
"20113",30220
"20115",11819
"20117",10038
"20119",4055
"20121",34205
"20123",5792
"20125",31484
"20127",5389
"20129",2697
"20131",10277
"20133",15902
"20135",2676
"20137",5458
"20139",15770
"20141",3501
"20143",5729
"20145",6259
"20147",4990
"20149",25344
"20151",9159
"20153",2560
"20155",61898
"20157",4682
"20159",9423
"20161",71963
"20163",4921
"20165",2951
"20167",6684
"20169",54301
"20171",5151
"20173",523830
"20175",21962
"20177",178909
"20179",2448
"20181",5928
"20183",3560
"20185",4070
"20187",2085
"20189",5252
"20191",22392
"20193",7933
"20195",2807
"20197",6872
"20199",1517
"20201",5532
"20203",2153
"20205",8625
"20207",3115
"20209",169230
"21001",18903
"21003",20580
"21005",23851
"21007",7730
"21009",44482
"21011",12747
"21013",24102
"21015",135995
"21017",20250
"21019",48253
"21021",30619
"21023",8403
"21025",13717
"21027",20433
"21029",82226
"21031",12371
"21033",12648
"21035",37098
"21037",93075
"21039",4819
"21041",10809
"21043",26626
"21045",15946
"21047",72818
"21049",36993
"21051",20339
"21053",9253
"21055",8988
"21057",5887
"21059",103320
"21061",12133
"21063",7352
"21065",14166
"21067",322567
"21069",15086
"21071",35948
"21073",51539
"21075",6515
"21077",8693
"21079",16949
"21081",24946
"21083",36657
"21085",26418
"21087",11109
"21089",35970
"21091",9097
"21093",110694
"21095",26833
"21097",18692
"21099",19281
"21101",44791
"21103",15682
"21105",4523
"21107",45422
"21109",12958
"21111",782956
"21113",52987
"21115",22679
"21117",169028
"21119",14253
"21121",30196
"21123",14869
"21125",62613
"21127",16293
"21129",7394
"21131",10516
"21133",21551
"21135",13079
"21137",24276
"21139",8892
"21141",27433
"21143",8683
"21145",67871
"21147",16887
"21149",9152
"21151",92707
"21153",11639
"21155",19577
"21157",31661
"21159",11287
"21161",17121
"21163",30011
"21165",6114
"21167",22643
"21169",10288
"21171",11336
"21173",28104
"21175",13724
"21177",30930
"21179",46737
"21181",7532
"21183",23772
"21185",67609
"21187",11271
"21189",4052
"21191",14652
"21193",28465
"21195",58663
"21197",13128
"21199",65033
"21201",2192
"21203",16042
"21205",24654
"21207",17990
"21209",57153
"21211",48101
"21213",19595
"21215",19433
"21217",26019
"21219",12249
"21221",14057
"21223",8470
"21225",13670
"21227",134551
"21229",12028
"21231",19559
"21233",13014
"21235",36715
"21237",6561
"21239",26874
"22001",57569
"22003",22751
"22005",126498
"22007",21040
"22009",39690
"22011",36554
"22013",12989
"22015",128736
"22017",237857
"22019",216779
"22021",9642
"22023",5619
"22025",8903
"22027",14168
"22029",18681
"22031",26809
"22033",456781
"22035",7460
"22037",19536
"22039",32351
"22041",19774
"22043",22163
"22045",70293
"22047",30240
"22049",15034
"22051",440794
"22053",32250
"22055",241756
"22057",97552
"22059",14797
"22061",48398
"22063",142284
"22065",10015
"22067",25629
"22069",37519
"22071",383998
"22073",160364
"22075",23515
"22077",20757
"22079",130030
"22081",7624
"22083",20049
"22085",22144
"22087",43766
"22089",52548
"22091",10925
"22093",20194
"22095",42477
"22097",82552
"22099",51766
"22101",49405
"22103",264575
"22105",133149
"22107",4147
"22109",109583
"22111",21106
"22113",56973
"22115",48754
"22117",45456
"22119",36963
"22121",27201
